Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
92,8081,124,16.793071746826172,10000,92,375,595.4836703350572,22.330637637564646,3.0,3.0,87.83696,173.14871,4.5,1.0,500.0,0.010869565,0.10368904,0.0,0.0,1.0,0.010869565,0.10368904,0.0,0.0,1.0,0.00032575798,0.003107533,0.0,0.0,0.029969735,3.0704985e-05,0.00029290695,0.0,0.0,0.0028248588,0.35869566,3.030933,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.36957,51.23427,500.0,134.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,24.14488,9.9521475,28.396862,0.27568704,33.96786,0.9906364,0.35353735,0.9917573,0.1463348,3.0651844,18.902771,9.364914,21.074783,4.881049e-05,30.81998,5.242112,2.7972913,5.3357177,-3.9316585,9.38118,33.860058,114.75527,24.377005,1.5050154,1301.4121,-6.0432973,3.672776,-5.891692,-35.861897,3.9316578,39.904507,117.56635,31.059914,2.974471,1337.1515,-0.0011531974,0.0002662457,-0.0011492942,-0.0016092634,-0.0006450675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114.97048,57.92087,119.05069,2.874434,201.45358,1.1531973,0.2662457,1.1492941,0.64506745,1.6092633,3.283933,0.88003266,3.1559644,1.9061158,4.9991274,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
42,17024,249,32.13600564002991,20000,134,750,651.7658271622726,24.441218518585224,3.0,3.0,170.24,205.4651,43.0,1.0,500.0,-0.28,0.4707441,0.0,-1.0,1.0,0.3,0.45825756,0.0,0.0,1.0,-0.14885904,0.26965657,0.0,-0.79361427,0.029969735,-0.005983828,0.011821271,0.0,-0.041666668,0.0028248588,0.33,2.908797,0.0,0.0,29.0,0.73,1.2153599,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.98,49.185764,500.0,134.0,500.0,377.72,195.88141,500.0,13.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,37.147453,5.116341,37.55155,16.654007,50.067936,0.720479,0.3237931,0.6272765,0.4542637,2.412683,35.933804,4.116966,35.824154,15.818234,43.034653,1.2136531,3.0838034,1.5941098,-6.4100447,13.965635,37.161736,77.51473,1.0310565,-0.45799598,485.9509,-1.2087237,3.3756895,-1.5986149,-15.304805,7.9412656,38.371326,78.036385,3.1986609,0.01493335,488.04117,-0.0008745002,0.00026938904,-0.00090317853,-0.0012196589,-0.00030817115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.530243,56.296665,47.155857,2.4651768,348.37973,0.87450016,0.269389,0.9031785,0.30817112,1.2196589,2.483054,0.6329298,2.467434,1.3609343,3.3860326,nan,nan,nan,nan,nan,1.976,1.1625078,2.0,1.0,4.0,nan,nan,nan,nan,nan
20,26902,374,48.46535563468933,30000,154,1125,612.394247368728,22.9647842763273,3.0,3.0,269.02,220.93407,250.0,1.0,500.0,-0.28,0.47074404,0.0,-1.0,1.0,0.3,0.45825756,0.0,0.0,1.0,-0.14885904,0.26965657,0.0,-0.79361427,0.029969735,-0.005983828,0.011821272,0.0,-0.041666668,0.0028248588,0.33,2.9087968,0.0,0.0,29.0,0.73,1.21536,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.98,49.18577,500.0,134.0,500.0,377.72,195.88141,500.0,13.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,39.669518,3.6714325,39.9039,26.576868,44.172466,0.40123588,0.027528819,0.3971716,0.3576127,0.45874566,40.651146,2.452953,40.715733,36.623333,44.18612,-0.9816339,2.8219512,-0.05023108,-13.014511,0.4772424,14.313038,41.548927,0.061811417,-0.13264595,202.02074,0.9814914,2.8235307,0.050235104,-0.4801588,13.187452,13.332002,38.732098,0.0011358459,3.1152922e-09,189.0069,-0.00045407296,0.0003363333,-0.00026743778,-0.0012071627,-9.219938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.042646,63.72913,0.9030958,0.009770847,297.6137,0.454073,0.33633327,0.26743776,0.09219937,1.2071627,1.6708186,0.60333854,1.306612,1.0965828,3.344045,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,36437,499,65.39805912971497,40000,174,1500,590.5731475743213,22.146493034037046,3.0,3.0,364.37,194.93828,500.0,1.0,500.0,-0.28,0.47074404,0.0,-1.0,1.0,0.3,0.45825756,0.0,0.0,1.0,-0.14885904,0.2696566,0.0,-0.79361427,0.029969735,-0.005983828,0.011821272,0.0,-0.041666668,0.0028248588,0.29,2.8854635,0.0,0.0,29.0,0.73,1.21536,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.34,36.41653,500.0,134.0,500.0,377.72,195.88142,500.0,13.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,33.351234,2.6270118,33.76516,23.05009,36.52292,0.3380808,0.012058934,0.33704516,0.31608653,0.3616784,34.171032,1.2698166,34.094734,32.210808,36.518864,-0.81979066,2.374103,-0.02235628,-10.873316,0.22331841,10.235453,29.617086,0.026072137,0.01505969,143.08466,0.81961954,2.3737245,0.022355523,-0.22351675,10.873316,9.415911,27.246187,0.00019589062,2.8973596e-05,132.21143,-7.71779e-05,1.6440428e-05,-7.8221725e-05,-0.0001125718,-5.3412827e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.004486,53.39971,0.38852102,0.0069961897,245.59291,0.0771779,0.016440427,0.07822172,0.053412825,0.11257179,1.0804014,0.017836107,1.081362,1.0548651,1.1194932,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,38068,624,82.29628133773804,50000,194,1875,591.7782283187234,22.19168356195213,3.0,3.0,380.68,191.33559,500.0,24.0,500.0,-0.29,0.4537621,0.0,-1.0,0.0,0.29,0.4537621,0.0,0.0,1.0,-0.14915875,0.26947424,0.0,-0.79361427,0.0,-0.0060120765,0.01180355,0.0,-0.041666668,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.21536,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,377.72,195.88142,500.0,13.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,30.079487,2.2213113,30.611374,21.088886,32.14223,0.3060748,0.0072411946,0.30566216,0.29160413,0.3198407,30.8084,0.73770845,30.772863,29.652393,32.13395,-0.72891015,2.1340752,-0.012013351,-9.55542,0.20601305,8.345364,24.092466,0.013376975,0.0069869244,111.827034,0.7286014,2.133357,0.012013375,-0.20615776,9.555421,7.6168323,21.960655,5.765785e-05,9.018162e-06,102.27169,-6.985537e-05,2.4568819e-05,-6.214698e-05,-0.00012507116,-4.3128515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.01748,47.957256,0.2163522,0.008058916,215.9369,0.06985538,0.024568817,0.06214698,0.043128513,0.12507115,1.072696,0.026660671,1.0641185,1.0440726,1.1334016,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,41347,749,99.25946688652039,60000,214,2250,589.5119151554538,22.106696818329517,3.0,3.0,413.47,178.96739,500.0,24.0,500.0,-0.19,0.3923009,0.0,-1.0,0.0,0.19,0.3923009,0.0,0.0,1.0,-0.12584566,0.26652563,0.0,-0.79361427,0.0,-0.0052718986,0.011857638,0.0,-0.041666668,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0908712,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,411.44,183.15306,500.0,13.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,28.032402,2.022495,28.594095,19.793428,29.591892,0.28574875,0.0050451295,0.28555754,0.2741025,0.2951359,28.70712,0.49518633,28.683548,27.926788,29.58253,-0.6747204,1.9855883,-0.0073577636,-8.791216,0.19381668,7.2725744,20.979061,0.007805944,0.0032487882,95.43132,0.67466754,1.98542,0.007357714,-0.19401462,8.791216,6.59795,18.99478,2.3377144e-05,3.7050777e-06,86.64018,-4.2993117e-05,1.06237985e-05,-3.9237366e-05,-7.6720695e-05,-3.1469306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.792882,44.595833,0.14123331,0.013268504,198.71738,0.042993113,0.010623797,0.039237365,0.031469304,0.07672069,1.0439997,0.011169955,1.0400324,1.0319693,1.0798402,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,50000,874,116.26126718521118,70000,234,2625,588.1730066415402,22.056487749057755,3.0,3.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,26.587677,1.899198,27.158325,18.852499,27.869678,0.27132398,0.0038435026,0.27124423,0.26132146,0.27831477,27.224937,0.3635307,27.220251,26.606333,27.858704,-0.63726133,1.8814124,-0.0048108087,-8.276017,0.18387339,6.562832,18.926554,0.0051009096,4.9864313e-05,85.09381,0.6372081,1.8813263,0.0048107905,-0.18389404,8.276188,5.925648,17.046164,9.53515e-06,2.723287e-07,76.817825,-2.5166979e-05,4.6368755e-06,-2.5467149e-05,-3.428969e-05,-1.5643283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.94694,42.240494,0.09107453,0.0016399792,186.90195,0.025166977,0.0046368754,0.025467148,0.015643282,0.034289688,1.0255023,0.0047509675,1.0257943,1.015767,1.03496,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,50000,999,133.149005651474,80000,254,3000,592.1455984161126,22.205459940604225,3.0,3.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,25.495968,1.8122419,26.06694,18.128155,26.602716,0.26037684,0.0031110293,0.26034713,0.25144958,0.26588696,26.105354,0.282587,26.105236,25.580917,26.59074,-0.60938615,1.8029662,-0.0033817415,-7.897477,0.17611906,6.052282,17.452461,0.0036096608,-0.0021682207,77.87028,0.60938764,1.8029714,0.0033817415,-0.17612627,7.897531,5.4429073,15.650318,2.9843795e-06,7.262611e-09,69.97282,-1.361949e-05,1.1990401e-06,-1.34852535e-05,-1.6961154e-05,-1.1772891e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.3097105,40.46403,0.049704902,0.0014472514,178.35063,0.013619488,0.0011990401,0.013485253,0.011772891,0.016961154,1.0137155,0.0012183242,1.0135772,1.0118423,1.0171368,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,50000,1124,150.00896334648132,90000,274,3375,593.121298457425,22.242048692153443,3.0,3.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,24.631882,1.7461569,25.199581,17.547451,25.61861,0.25168547,0.0026313383,0.25169176,0.24351525,0.25620392,25.21944,0.22887117,25.2235,24.75891,25.605892,-0.5875634,1.7410287,-0.0024195712,-7.6036887,0.16992083,5.6636024,16.331457,0.00270732,-0.003681155,72.48168,0.58756435,1.7410325,0.0024195705,-0.16992614,7.6037245,5.0760474,14.591183,1.7524442e-06,5.885249e-09,64.878006,-1.0241121e-05,9.228255e-07,-1.0091109e-05,-1.2938735e-05,-8.819372e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.812471,39.066654,0.03488367,0.0002575963,171.71564,0.010241121,0.0009228255,0.010091109,0.008819371,0.012938735,1.0102957,0.0009343914,1.0101416,1.0088582,1.0130446,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
20,50000,1249,167.14969086647034,100000,294,3750,583.4058086705068,21.877717825144003,3.0,3.0,500.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,23.924772,1.6934334,24.481312,17.067673,24.824326,0.24455719,0.0023005556,0.24463919,0.23694882,0.24837217,24.494606,0.19134985,24.4985,24.079033,24.811157,-0.5698343,1.6904455,-0.0016839867,-7.3667693,0.16485985,5.355595,15.443803,0.0020873905,-0.004780574,68.2747,0.56983495,1.690448,0.0016839865,-0.16486368,7.3667917,4.7857676,13.754066,1.047516e-06,4.728463e-10,60.907936,-7.659774e-06,6.867367e-07,-7.504123e-06,-9.78164e-06,-6.685489e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.408709,37.925293,0.027087651,0.00041249362,166.3651,0.0076597733,0.00068673666,0.007504123,0.006685489,0.00978164,1.0076903,0.00069347967,1.0075381,1.0067077,1.0098442,nan,nan,nan,nan,nan,4.0,0.0,4.0,4.0,4.0,nan,nan,nan,nan,nan
