Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
486,717,124,18.037113189697266,10000,486,375,554.4124436560039,20.790466637100145,3.0,3.0,7.17,9.835706,4.0,1.0,54.0,-0.01,0.09949875,0.0,-1.0,0.0,0.01,0.09949875,0.0,0.0,1.0,-0.005870368,0.058409426,0.0,-0.5870368,0.0,-0.00018518518,0.0018425691,0.0,-0.018518519,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1989975,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,495.38,45.96842,500.0,38.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-0.0001479054,0.015577442,0.001794148,-0.11963209,0.0171349,0.0014776557,0.0009799948,0.0015750717,0.00018325748,0.0065011783,-0.0010604344,0.014010587,0.00020243546,-0.13615987,0.016719745,0.00091252883,0.011293122,0.0014499711,-0.120254695,0.02060649,0.9758159,0.23434646,0.9246656,0.42553732,1.7202036,0.00010214233,0.019124178,-2.7894299e-05,-0.05875464,0.19790721,0.0006335665,0.0056289374,3.6007734e-06,5.5914717e-07,0.07252556,-0.001601343,3.0176896e-05,-0.001608397,-0.0016090769,-0.0013749812,0.97509325,0.23036191,0.92646736,0.4275379,1.4326519,0.0015882842,0.0024814315,0.0006750913,8.085228e-05,0.018532312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0507776,0.81591004,0.88086724,0.115174405,3.7046943,1.6013429,0.030176893,1.6083969,1.3749812,1.6090767,4.9620943,0.13704877,4.994798,3.9583166,4.9981947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
475,848,249,36.076850175857544,20000,961,750,554.3318069255554,20.787442759708327,3.0,3.0,8.48,8.635369,5.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.003517994,0.0045019574,0.0034984108,-0.044565625,0.008405748,0.0024828475,0.00039534652,0.0025497903,0.0014364047,0.003375953,0.0009431161,0.0074226693,0.0013347093,-0.079332136,0.008363466,0.002574878,0.003200257,0.0024271347,-0.0042152936,0.034766518,0.5738664,0.16853292,0.5626157,0.090277895,1.0814263,-0.00036486605,0.008721691,0.00047514276,-0.07488939,0.020107176,8.450083e-05,0.00063284696,1.1393677e-05,5.34832e-07,0.008665609,-0.0015982286,1.2419302e-05,-0.0016035937,-0.001608724,-0.0015514662,0.5709763,0.16836463,0.5617521,0.08326836,1.0632427,0.0047687283,0.0031487313,0.004084466,0.0007074344,0.021158239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2534797,1.0838908,2.0026515,0.5278168,5.8641477,1.5982286,0.012419302,1.6035936,1.5514661,1.6087239,4.9447904,0.060467854,4.9709005,4.71993,4.996432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,8405,374,55.0849175453186,30000,1020,1125,526.0924114813643,19.728465430551157,3.0,3.0,84.05,162.26018,9.0,1.0,500.0,0.01,0.17291616,0.0,-1.0,1.0,0.03,0.17058723,0.0,0.0,1.0,0.0023709196,0.030699292,0.0,-0.08784501,0.29342273,-1.1522602e-06,0.00049934915,0.0,-0.004115226,0.002,2.2,14.0285425,0.0,0.0,113.0,0.03,0.29849625,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.47,79.67577,500.0,68.0,500.0,497.38,26.068674,500.0,238.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.05806624,0.039291028,0.05881685,0.002745377,0.18154426,0.00095399795,0.0005675768,0.00078865624,0.00013204364,0.0026645614,0.05747776,0.040443353,0.053286534,-0.0020858576,0.18455537,0.0005884838,0.010342841,0.0006181443,-0.035216074,0.060332168,0.8598174,0.21479096,0.8535861,0.21093726,1.4690406,-0.00027558723,0.010844986,-0.00044737416,-0.0645902,0.045535058,0.00079089135,0.003918066,2.2348277e-05,9.135691e-07,0.025639862,-0.0012165146,0.00019462273,-0.0012590933,-0.0015634828,-0.0007519197,0.8507076,0.21150228,0.84886354,0.20537809,1.4369544,0.009810966,0.008663246,0.007003875,0.00041632858,0.047635447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1531858,1.0941902,1.9577391,0.3238478,8.197277,1.2165145,0.19462271,1.2590933,0.7519197,1.5634828,3.4398274,0.6298753,3.5227215,2.1211116,4.7773905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,17994,499,74.75294303894043,40000,1051,1500,508.4394467173594,19.066479251900976,3.0,3.0,179.94,212.30864,28.5,1.0,500.0,0.04,0.27999997,0.0,-1.0,1.0,0.08,0.27129322,0.0,0.0,1.0,0.0068784766,0.05499452,0.0,-0.24733868,0.29342273,7.419167e-06,0.00095890573,0.0,-0.007142857,0.002,3.64,16.203407,0.0,0.0,113.0,0.05,0.35707137,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.75,101.22019,500.0,68.0,500.0,493.63,45.300255,500.0,125.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.048624173,0.06349531,0.03530647,-0.13366342,0.305154,0.0005032747,0.00021223807,0.00051318004,8.441254e-05,0.0010847014,0.04861894,0.066034235,0.033975378,-0.16396415,0.32517952,5.2396663e-06,0.022167135,0.00068968174,-0.17412888,0.10866203,0.71197337,0.21063252,0.71577436,0.24085042,1.1313379,-0.00019771628,0.023166278,-0.0006908672,-0.11962163,0.17412889,0.0014797684,0.0078040464,1.5548776e-05,9.981657e-07,0.065559626,-0.0011285386,6.747927e-05,-0.0011285215,-0.0012815266,-0.0009912256,0.7053345,0.20902866,0.70379686,0.23768738,1.127993,0.0064853574,0.0036114592,0.006514229,0.0004426718,0.015639469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7923276,1.2290306,1.4319017,0.3982278,7.6920104,1.1285386,0.06747926,1.1285214,0.9912256,1.2815266,3.1004372,0.20889449,3.0931423,2.6945467,3.6153903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,27533,624,93.43346762657166,50000,1083,1875,535.3168725583442,20.07438272093791,3.0,3.0,275.33,206.3518,286.5,1.0,500.0,0.02,0.31559464,0.0,-1.0,1.0,0.1,0.3,0.0,0.0,1.0,0.00583491,0.05587073,0.0,-0.24733868,0.29342273,-5.76667e-05,0.0010699002,0.0,-0.007142857,0.002,3.64,16.203407,0.0,0.0,113.0,0.22,0.8784077,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.75,101.22019,500.0,68.0,500.0,483.4,70.11334,500.0,119.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.022037622,0.036850754,0.03197803,-0.16470936,0.05395136,0.00056907616,0.00014414868,0.0005399765,0.00033149443,0.00094465195,0.022214187,0.038138084,0.031549487,-0.21532376,0.054602362,-0.00017656267,0.015877789,0.0010917915,-0.14894815,0.050614428,0.5280381,0.17420751,0.48940593,0.29201156,1.8218068,0.00030954005,0.016460478,-0.0010921119,-0.050614435,0.14894813,0.00073132216,0.005309609,6.2327867e-06,9.0396577e-07,0.05075587,-0.0011921814,4.187385e-05,-0.0011860499,-0.0012701609,-0.0011269788,0.51946574,0.1635501,0.48604855,0.28736743,1.7401583,0.008723679,0.007904778,0.007107535,0.0024743017,0.07741602,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4581718,0.71571904,1.344007,0.26202103,3.626911,1.1921813,0.041873846,1.1860498,1.1269788,1.2701608,3.2993112,0.13915546,3.2823644,3.0863729,3.565884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,33403,749,115.02087497711182,60000,1108,2250,463.2330245878174,17.371238422043152,3.0,3.0,334.03,194.6578,462.0,1.0,500.0,0.02,0.31559464,0.0,-1.0,1.0,0.1,0.3,0.0,0.0,1.0,0.00487307,0.05747296,0.0,-0.24733868,0.29342273,-7.1159244e-05,0.0011279199,0.0,-0.007142857,0.002,2.77,12.175265,0.0,0.0,85.0,0.24,0.89576787,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.98,100.17266,500.0,68.0,500.0,479.29,79.63407,500.0,119.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.053309508,0.014781151,0.054299813,0.0015120836,0.079399556,0.00076014583,0.00018701806,0.00074672006,0.00041714116,0.0015330801,0.053358458,0.014778514,0.053077746,-9.881395e-05,0.08042775,-4.8950962e-05,0.0046076733,0.00081157853,-0.03559947,0.0065898607,0.57970566,0.12093396,0.55264705,0.34091878,0.9772596,0.00015591757,0.0052847355,-0.00081204326,-0.0067360112,0.046015423,0.00025529444,0.0020473984,8.473096e-06,1.0020294e-06,0.022481896,-0.0013294133,3.310462e-05,-0.0013322766,-0.0013826372,-0.0012569064,0.5674515,0.11580521,0.5415336,0.33723342,0.9477095,0.013172396,0.0061950623,0.011654696,0.004509825,0.04112818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1962037,1.0281981,1.9235252,0.72713655,5.5941014,1.3294133,0.03310462,1.3322766,1.2569064,1.3826371,3.7812963,0.12440567,3.7896638,3.5145411,3.9861476,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,33510,874,138.46900963783264,70000,1139,2625,426.47315638081494,15.99274336428056,3.0,3.0,335.1,191.108,459.5,1.0,500.0,-0.12,0.38157567,0.0,-1.0,1.0,0.16,0.36660612,0.0,0.0,1.0,-0.036585882,0.1168927,0.0,-0.61729014,0.045252226,-0.0011411031,0.0035941394,0.0,-0.020408163,0.002,0.88,6.5624385,0.0,0.0,60.0,0.6,1.371131,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,25.477049,500.0,248.0,500.0,443.12,134.22073,500.0,43.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.00073245476,0.07799659,0.041542068,-0.23556988,0.0775473,0.00080686243,0.00027993257,0.0007242084,0.00031230104,0.0017837749,0.002532902,0.07622973,0.04088897,-0.2515672,0.081987344,-0.001800446,0.02031682,0.0018365203,-0.10346754,0.039450683,0.72012323,0.18828772,0.6894381,0.39623418,1.3175688,0.0024576206,0.022896979,-0.0018404776,-0.039522268,0.11519864,0.0022831939,0.007673395,9.2076836e-05,1.5528682e-06,0.045460116,-0.0013142915,5.690754e-05,-0.0013142055,-0.0013853237,-0.0011925448,0.7042902,0.17349699,0.67834157,0.3915645,1.1548511,0.012406436,0.007229989,0.009843918,0.0036737665,0.042762768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1107917,0.91886455,1.9749153,0.541662,5.342451,1.3142915,0.05690753,1.3142054,1.1925448,1.3853236,3.72839,0.20933425,3.7219238,3.2954667,3.9968326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,34816,999,162.64494013786316,80000,1164,3000,413.6345444899164,15.511295418371866,3.0,3.0,348.16,195.26329,500.0,1.0,500.0,-0.1,0.33166248,0.0,-1.0,1.0,0.12,0.3249615,0.0,0.0,1.0,-0.033521455,0.114728495,0.0,-0.61729014,0.00803329,-0.0010245885,0.0035201581,0.0,-0.020408163,0.002,0.28,2.7859654,0.0,0.0,28.0,0.41,1.1584041,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.52,4.7759404,500.0,452.0,500.0,457.1,122.086555,500.0,43.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.07544326,0.018393656,0.07578818,0.021948058,0.12853248,0.0011019999,0.0002272081,0.0010593154,0.00067638175,0.001645514,0.07494262,0.019638725,0.07552855,0.0030203618,0.12789336,0.0005006466,0.0065672575,0.0018735115,-0.031535506,0.018927697,0.5377426,0.124881215,0.5328527,0.26108307,0.9208143,-0.00046200352,0.0065977448,-0.0018737756,-0.019131985,0.031535506,0.00011618278,0.000269377,3.5649857e-05,5.5212668e-06,0.0027368255,-0.0013303952,2.6443066e-05,-0.001337577,-0.0013717778,-0.001282936,0.5266656,0.120085835,0.5209428,0.25239357,0.86541986,0.012753222,0.0072103916,0.011722487,0.003800907,0.07426806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9432487,0.8890858,1.7397355,0.5043667,5.1240273,1.3303952,0.026443064,1.337577,1.2829359,1.3717778,3.7840087,0.09968826,3.8098054,3.6072228,3.9426208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,38014,1124,188.18498492240906,90000,1189,3375,391.5419915806463,14.682824684274237,3.0,3.0,380.14,187.53004,500.0,1.0,500.0,-0.11,0.34336567,0.0,-1.0,1.0,0.13,0.33630344,0.0,0.0,1.0,-0.037777357,0.12112166,0.0,-0.61729014,0.00803329,-0.0011408676,0.0036731178,0.0,-0.020408163,0.002,0.28,2.7859654,0.0,0.0,28.0,0.49,1.2688184,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.52,4.7759404,500.0,452.0,500.0,448.3,133.99057,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.08768576,0.030222308,0.09164534,-0.022280606,0.13636962,0.0013151423,0.00031852763,0.0012664808,0.0007312987,0.002342157,0.0879102,0.031252038,0.09250332,-0.041106533,0.14207962,-0.0002244397,0.008512784,0.0015356181,-0.04944666,0.019706244,0.54828644,0.12473145,0.5450805,0.25815552,1.0590577,0.00032480666,0.009092029,-0.0014946589,-0.019709464,0.06072162,0.000335971,0.0022536218,4.3471948e-05,4.8918914e-06,0.026129607,-0.0013434655,2.7788135e-05,-0.0013485769,-0.0013802064,-0.001291022,0.5317716,0.115959965,0.5297696,0.25045538,0.9107424,0.017197529,0.0087625515,0.015098802,0.0038848617,0.0628315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4026263,1.0766541,2.2395957,0.7518999,5.3861966,1.3434652,0.027788134,1.3485768,1.291022,1.3802063,3.8338437,0.10587811,3.8519452,3.6365218,3.9758053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,38947,1249,216.9368896484375,100000,1210,3750,347.8030445387233,13.042614170202125,3.0,3.0,389.47,178.90598,500.0,1.0,500.0,-0.14,0.34698704,0.0,-1.0,0.0,0.14,0.34698704,0.0,0.0,1.0,-0.039247695,0.12145501,0.0,-0.61729014,0.0,-0.0012348816,0.0036794185,0.0,-0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.5915716,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,447.42,132.92609,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.07629578,0.022765197,0.07377768,0.024788436,0.164144,0.0012637052,0.00044633495,0.0011333905,0.0006878141,0.0032702975,0.07622682,0.02238178,0.07316128,0.026014363,0.17232439,6.896298e-05,0.008700862,0.0019015248,-0.038604997,0.020623343,0.50039923,0.17116736,0.46313748,0.25843963,1.5079627,9.08792e-06,0.008838348,-0.0019017151,-0.020655852,0.038604997,0.00033434076,0.0013099916,2.5954087e-05,1.7133283e-06,0.012236993,-0.0013437131,3.491815e-05,-0.0013505471,-0.0013868221,-0.0012833023,0.48488608,0.1547844,0.45554915,0.25544974,1.3352579,0.016513426,0.014950653,0.0125737665,0.0044520064,0.13355881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2682366,1.1331328,1.9981141,0.35628542,7.2278843,1.343713,0.034918148,1.350547,1.2833023,1.386822,3.8356295,0.13329025,3.8595378,3.608544,4.002154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
