Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
496,479,124,14.626401424407959,10000,496,375,683.6951694291937,25.638568853594766,3.0,3.0,4.79,4.6201625,4.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,2.476724e-06,6.440708e-05,3.1047094e-07,-0.0004643287,0.0003191987,0.0,0.0,0.0,0.0,0.0,-1.30312565e-05,0.00036319267,2.722966e-06,-0.0022789573,0.0022971067,1.5507974e-05,0.00030963143,1.3513047e-06,-0.0019779082,0.0021310213,-0.0016952193,0.0014566628,-0.0016200488,-0.013769404,0.007229063,-8.7495806e-05,0.0014590259,-1.0986072e-05,-0.012198081,0.0087907035,1.207756e-06,5.8681494e-06,1.871636e-07,2.8878114e-08,8.2852646e-05,-0.0016089316,1.6663562e-07,-0.001608941,-0.0016092361,-0.0016084115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000544086,0.0011912679,0.00025946868,5.8132693e-05,0.01421861,1.6089313,0.00016663552,1.608941,1.6084114,1.609236,4.997468,0.0008327067,4.9975157,4.9948707,4.9989905,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
497,440,249,29.49654722213745,20000,993,750,672.4883626579432,25.218313599672868,3.0,3.0,4.4,4.2213745,3.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,3.7040109e-06,3.4816163e-05,2.64114e-07,-0.00017450584,0.00019934867,0.0,0.0,0.0,0.0,0.0,7.046669e-06,9.2801805e-05,1.0105548e-06,-0.00041300594,0.00037176564,-3.3426584e-06,7.067715e-05,1.668535e-06,-0.0002917042,0.00027269844,-0.0016058099,0.00026413213,-0.0016175316,-0.0023879772,-0.00054766797,3.131634e-06,0.00026412835,-8.999805e-06,-0.00077959476,0.0010607424,1.2714274e-07,1.4170175e-07,8.197175e-08,7.694568e-09,1.0553791e-06,-0.0016090688,2.0208e-07,-0.0016091164,-0.0016093206,-0.001608326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003173034,0.00024760346,0.00024847698,3.281156e-05,0.00147524,1.6090686,0.00020207682,1.6091163,1.608326,1.6093205,4.998154,0.0010098343,4.9983916,4.994443,4.9994135,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
495,465,374,44.464523792266846,30000,1488,1125,668.0929752359675,25.053486571348785,3.0,3.0,4.65,4.0407305,3.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,2.8212537e-06,1.5697082e-05,5.6136577e-07,-6.190229e-05,7.534675e-05,0.0,0.0,0.0,0.0,0.0,8.433311e-06,5.149144e-05,3.427523e-06,-0.00010881716,0.0002494419,-5.612056e-06,3.937092e-05,-2.6824382e-06,-0.00017409511,9.687534e-05,-0.0015978512,0.00014462364,-0.0016021575,-0.0020345286,-0.0012120123,1.12891485e-05,0.00014460864,6.9350795e-06,-0.0004254881,0.00039686562,5.2646136e-08,3.6821284e-08,4.25406e-08,2.4223237e-09,2.2280666e-07,-0.0016091928,8.035366e-08,-0.0016092049,-0.0016093083,-0.00160898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00018646916,0.00011841971,0.0001585817,3.1444837e-05,0.0006988453,1.6091927,8.0353064e-05,1.6092049,1.60898,1.6093082,4.998774,0.00040162762,4.998835,4.99771,4.999351,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,489,499,59.35461187362671,40000,1982,1500,671.5876995058536,25.18453873146951,3.0,3.0,4.89,3.5606039,4.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-2.2967422e-06,3.0130179e-05,-2.626084e-08,-0.00019584957,0.00013587042,0.0,0.0,0.0,0.0,0.0,-8.1734197e-07,5.6555502e-05,3.2943208e-06,-0.00028628728,0.00017312072,-1.4794007e-06,3.7733687e-05,-3.4828167e-06,-0.00013437816,0.00016872816,-0.0016064863,0.00012658689,-0.0015920694,-0.0020064635,-0.0012509157,2.8254024e-06,0.00012658461,1.7293172e-05,-0.0003971038,0.00035834173,3.3309664e-08,2.8553508e-08,2.6221363e-08,1.9733497e-09,3.327e-07,-0.0016093451,5.885427e-08,-0.0016093698,-0.0016094128,-0.0016091561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00014265267,9.656089e-05,0.000112845104,2.5863023e-05,0.00087527605,1.6093451,5.8859132e-05,1.6093696,1.609156,1.6094128,4.999536,0.00029429712,4.999658,4.9985914,4.9998736,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
497,455,624,74.13369059562683,50000,2479,1875,676.6321628095809,25.373706105359286,3.0,3.0,4.55,3.884263,3.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,6.4361797e-07,1.1438998e-05,-5.1644746e-09,-5.7077938e-05,4.185449e-05,0.0,0.0,0.0,0.0,0.0,8.74621e-06,4.477869e-05,3.0805822e-06,-9.441256e-05,0.00018254065,-8.102594e-06,3.634501e-05,-2.5625466e-06,-0.00014088719,7.790217e-05,-0.0015825203,0.00014903648,-0.0015936091,-0.0019654294,-0.0011565803,2.679411e-05,0.00014902127,1.5766003e-05,-0.00035608595,0.00045263532,3.3477626e-08,3.6021287e-08,2.3510696e-08,4.1311266e-10,3.7694736e-07,-0.001609348,3.5012448e-08,-0.001609356,-0.001609408,-0.0016092242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00014930399,0.000121873054,0.00011140107,2.036549e-05,0.0009804955,1.6093478,3.501327e-05,1.6093559,1.6092242,1.6094079,4.9995503,0.00017506104,4.999591,4.9989305,4.99985,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,477,749,87.54713129997253,60000,2973,2250,745.5208712228614,27.957032670857302,3.0,3.0,4.77,3.8179967,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-2.248495e-06,1.7873574e-05,-1.3190456e-07,-0.00015518893,3.2065294e-05,0.0,0.0,0.0,0.0,0.0,-3.7412012e-06,5.424755e-05,-4.825648e-07,-0.00029233162,0.00017674129,1.4927058e-06,4.360896e-05,9.241803e-07,-0.00015702381,0.00023670623,-0.0016170817,0.00016466471,-0.0016102634,-0.0024331538,-0.0012281958,-7.9032725e-06,0.00016468522,-1.3622654e-06,-0.00082428753,0.00038066375,3.547836e-08,5.987986e-08,1.933387e-08,2.2537032e-09,5.072945e-07,-0.0016092137,1.0701709e-07,-0.001609232,-0.0016093957,-0.0016088601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00015556843,0.00015805072,0.000103260834,1.5623162e-05,0.0010813106,1.6092137,0.00010701615,1.609232,1.60886,1.6093956,4.998879,0.0005349405,4.9989705,4.997111,4.999788,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,499,874,101.76761722564697,70000,3467,2625,703.21085033708,26.3704068876405,3.0,3.0,4.99,4.419265,4.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,4.483482e-06,2.8646149e-05,7.203489e-07,-9.1195776e-05,0.00018638244,0.0,0.0,0.0,0.0,0.0,1.7812581e-05,8.868546e-05,9.759399e-06,-0.00034507824,0.00038499702,-1.33291e-05,6.50825e-05,-9.511421e-06,-0.00027591333,0.00025746127,-0.0015659461,0.00023092945,-0.00156133,-0.0021462748,-0.000795937,4.3188487e-05,0.0002309124,4.7938036e-05,-0.00053718337,0.0008129463,5.6612656e-08,8.151201e-08,3.1214487e-08,2.660011e-10,8.387142e-07,-0.0016091913,1.579686e-07,-0.0016092326,-0.0016094123,-0.0016086904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002472087,0.00019824151,0.00019206309,2.6462018e-05,0.0014208521,1.6091911,0.00015796951,1.6092325,1.6086903,1.6094122,4.9987664,0.000789536,4.9989734,4.9962635,4.9998717,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,478,999,116.66705775260925,80000,3961,3000,671.1661408966216,25.16873028362331,3.0,3.0,4.78,4.177511,3.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-1.6038347e-06,1.2858472e-05,-5.934826e-08,-9.861239e-05,2.0978972e-05,0.0,0.0,0.0,0.0,0.0,-6.712935e-07,2.6942786e-05,9.736511e-07,-9.074276e-05,6.863009e-05,-9.3254135e-07,2.0264508e-05,-1.0329993e-06,-4.927502e-05,7.552471e-05,-0.0016072569,7.872002e-05,-0.0016033903,-0.0018177686,-0.001404647,2.0758455e-06,7.871473e-05,5.9631157e-06,-0.00020845684,0.00020463229,1.5473526e-08,9.972252e-09,1.3333816e-08,7.6241014e-10,6.962518e-08,-0.0016093481,5.3424145e-08,-0.0016093652,-0.0016094125,-0.0016091777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.482572e-05,6.142139e-05,7.6607525e-05,1.7475055e-05,0.00037824016,1.6093479,5.342916e-05,1.6093651,1.6091776,1.6094124,4.9995513,0.00026711033,4.999636,4.9986987,4.9998727,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
498,466,1124,131.50125074386597,90000,4459,3375,674.1182352079421,25.27943382029783,3.0,3.0,4.66,3.7635622,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-1.6066325e-06,1.1161266e-05,-2.7020624e-07,-9.336509e-05,3.7069738e-05,0.0,0.0,0.0,0.0,0.0,-3.8003466e-06,2.7692142e-05,-5.9739336e-06,-9.860545e-05,0.00012489357,2.1937142e-06,2.0376241e-05,4.369399e-06,-8.782382e-05,4.6400593e-05,-0.0016193078,8.5382606e-05,-0.0016304374,-0.0019478339,-0.0013490503,-9.97875e-06,8.538064e-05,-2.1120908e-05,-0.00033850461,0.00026021875,1.4119394e-08,1.3674499e-08,9.8364135e-09,1.616373e-11,1.257294e-07,-0.0016093431,5.1241326e-08,-0.0016093596,-0.0016094147,-0.0016091254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.545985e-05,7.2333256e-05,7.156862e-05,1.3379833e-05,0.0005359235,1.609343,5.1242496e-05,1.6093595,1.6091254,1.6094146,4.9995255,0.00025617,4.9996085,4.9984374,4.999882,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
496,475,1249,146.3870177268982,100000,4955,3750,671.7826505949379,25.19184939731017,3.0,3.0,4.75,3.675255,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-2.8252543e-06,2.3442904e-05,0.0,-0.00018929371,0.0001031658,0.0,0.0,0.0,0.0,0.0,-1.0083466e-05,6.3799154e-05,-6.601913e-07,-0.00029782753,0.00016338126,7.258212e-06,4.9759594e-05,-8.3708166e-08,-0.000115789066,0.0002637667,-0.0016532227,0.00023361319,-0.0016089218,-0.002755939,-0.0010941683,-4.4114775e-05,0.00023368942,4.0873033e-07,-0.0011475459,0.00051414827,6.539244e-08,1.8695874e-07,1.6576516e-08,7.9330487e-10,1.8451324e-06,-0.0016091731,2.1132993e-07,-0.0016092762,-0.001609371,-0.0016083759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00020241608,0.00026218552,0.00012077454,1.714678e-05,0.0020502035,1.6091732,0.0002113301,1.609276,1.6083759,1.609371,4.9986763,0.0010561659,4.999191,4.9946938,4.9996657,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
